ace,pro_com,LUM5_single,RNR_nres,nig_rat_daily,hType_mix,hType_mix2,hType_mix3,mdist_nres_daily,ratio_daily_nondaily,area,area_filtr,nig_rat_daily3,den_nres_daily,den_nres_non-daily,num_community_places,num_community_places_poi,sphi,avg_block_area,num_intersect,bld_entr_age,bld_avg_age,bld_std_age,bld_entr_interiors,enterprises_entr_size,enterprises_empl_size,pop_rat_num,bld_rat_int,emp_rat_pop,emp_rat_num,bld_rat_area,bor_rat_area,mdist_parks,mdist_smallparks,mdist_railways,mdist_water,mdist_highways
77,82053,0.712195763251,0.664531599633,0.111111111111,0.967946314794,2.71815519766,1.98370497427,389.775170791,0.4375,3119340.0,3104901.90444,6.44142733507e-07,2.89864230078e-06,2.25449956728e-06,26.0,0.866666666667,0.311054600918,10.43282368,119.0,0.921021513922,43.231095679,9.86025356989,1.54864180152,0.49329361123,12.2078947368,0.00430255138846,4.15886,2.87971545592,0.00149408907037,0.199450161892,0.00819503479271,6506.90066118,942.6856264,506.817498559,940.747446739,617.702420244
1,63049,0.783246211657,0.571903330957,0.114035087719,0.5254010986,5.96795952782,1.94214876033,28.1598727334,0.326315789474,1189860.0,1129784.42123,3.45198599547e-05,0.000169943925931,8.23165891227e-05,342.0,0.738660907127,0.380245375017,9.07040516289,257.0,0.321318740163,56.53,13.0439847737,1.49621655403,0.48100152105,11.355233853,0.0162898334002,15.1096,0.902422281063,0.0180512313825,0.303600729974,0.00871312019471,167384.432436,153385.150604,1501.49751153,362.418128386,2730.72249285
2,63049,0.700795599772,0.855219173762,0.208333333333,0.634354342066,5.61,2.12280701754,23.0324514326,0.304347826087,863142.0,703507.691461,6.39651855214e-05,0.000181945416594,7.960111976e-05,238.0,0.714714714715,0.367626052401,9.64856311411,147.0,0.584658214031,58.9268292683,13.490250589,1.54179858216,0.393192521302,7.58055744392,0.0180367608685,15.845,1.13792484979,0.0158505729722,0.0585463626144,0.120706098819,166468.265985,152497.170227,2081.28290678,445.023140767,1604.40066465
3,63049,0.596475295436,0.495327717737,0.226315789474,0.543888275197,5.83636363636,2.07692307692,14.5361185466,0.335714285714,419730.0,419728.663386,0.000102447137284,0.000221571715522,0.000111977103543,216.0,0.664615384615,0.45645217812,9.25381596712,197.0,0.614838728825,63.1279069767,15.9432229686,1.58010345427,0.4209672625,8.86438152012,0.0123675137126,15.7773,0.436365164761,0.0283421196543,0.611363826824,0.0,167030.548943,153000.183822,809.064690905,907.685033034,2287.76505722
4,63049,0.144949397225,0.151765155578,0.181818181818,0.307092688576,6.50931677019,1.95744680851,65.3650396627,0.425,201764.0,201764.0,4.95628556135e-05,0.000113994567911,8.42568545429e-05,61.0,0.693181818182,0.368726264288,8.70394860095,64.0,0.323055796905,71.14,18.7848324616,1.50081528265,0.319046984426,5.63982102908,0.0593812573105,11.2091,4.75247917493,0.0124947959002,0.0802293885121,0.0,166867.576079,152848.876728,1135.05201316,983.412333343,2274.72505274
5,63049,0.796857833851,0.244891210261,0.181818181818,0.812540618132,4.93309859155,2.00425531915,77.7564352994,0.235294117647,657472.0,592305.439177,6.7532724426e-06,2.19481354385e-05,6.7532724426e-06,19.0,0.633333333333,0.324386535436,10.5371601406,20.0,0.850335784318,51.2650334076,11.1374366159,1.69587027679,0.262354396111,2.91329479769,0.0277593263753,11.537,10.8743386243,0.0025527369833,0.00681806412322,0.0,165551.740738,151509.319322,1656.88440869,2241.17516255,760.638732738
6,63049,0.692614349967,0.330948647111,0.137931034483,0.701876675725,5.42045454545,2.25365853659,72.3476254438,0.318181818182,522598.0,495772.258644,8.06822070065e-06,3.02558276274e-05,1.41193862261e-05,26.0,0.634146341463,0.38073985548,9.24731085429,105.0,0.35016000851,37.8537735849,11.445641685,1.61162859709,0.174651105741,4.03073770492,0.0347276389508,12.5179,8.75292323335,0.00396754752954,0.0457702320622,0.0,166133.838542,152071.179871,1541.39220537,1772.71780708,1059.81167259
7,63049,0.931253753343,0.629880880505,0.111111111111,0.88386742701,4.42625169147,2.00787401575,117.137796681,0.4,1054450.0,833849.22183,2.39851516034e-06,1.07933182216e-05,7.19554548103e-06,19.0,0.730769230769,0.41741029493,10.1925212759,90.0,0.689106824297,63.1933962264,15.3413519309,1.73281525318,0.288275290184,4.42513368984,0.016619311546,7.91475,8.37341389728,0.00198477129519,0.0829011349598,0.0,166292.636414,152211.44962,1469.69281698,1900.05561577,751.788795152
8,63049,0.888173182625,0.690352544863,0.0487804878049,0.61431677777,5.6981981982,2.18333333333,69.2629886141,0.233333333333,707279.0,707270.770937,2.82777131784e-06,3.25193701551e-05,9.89719961243e-06,56.0,0.767123287671,0.519346825663,8.64183895716,206.0,0.648062285602,62.3781094527,14.9097685797,1.28940583375,0.428929848883,15.730565371,0.0212959457946,28.5315,0.845847138766,0.0251770619284,0.166885861876,0.016783393231,167438.324707,153337.770009,501.563389744,1661.22440915,455.419117854
9,63049,0.312594449254,0.207846061501,0.0392156862745,0.595413639842,5.80421686747,2.27380952381,42.1606292047,0.217391304348,434172.0,434172.0,4.60646932552e-06,8.29164478594e-05,2.30323466276e-05,59.0,0.808219178082,0.457130686607,8.72901689673,212.0,0.534869095702,70.8605150215,19.4680513552,1.53520734254,0.209880646132,5.71382289417,0.0387404070276,22.4819,3.17898317898,0.0121864146007,0.240218306339,2.07246221455e-05,167270.728585,153182.940794,620.744787717,1427.46306626,865.156152045
10,63049,0.762375246127,0.868341366559,0.0857142857143,0.805852204137,4.93525179856,1.9649122807,42.6046106163,0.259259259259,575527.0,572353.61391,5.24151490807e-06,3.49434327205e-05,1.22302014522e-05,22.0,0.564102564103,0.410457441141,9.0469356053,151.0,0.4894576032,62.5517241379,18.9929564654,1.59934826794,0.320091805368,12.4761904762,0.0163395491401,27.0288,1.69974554707,0.0096129383414,0.313215977882,0.028673435283,168162.427445,154090.634804,170.361753592,429.947398084,1583.91566435
11,63049,0.574063027862,0.549058324897,0.0839694656489,0.611556741667,5.70218579235,1.97354497354,35.4813340463,0.387096774194,771200.0,770955.177753,1.42680149475e-05,7.39342592732e-05,4.66953216462e-05,103.0,0.628048780488,0.346088911617,9.51319749795,375.0,0.106604684533,50.109375,15.1498355877,1.69365460809,0.249550828274,5.40688259109,0.0218534105304,11.1352,2.10258330213,0.0103936003431,0.454891798667,0.0310162682393,167581.372802,153524.203987,304.173082898,466.901169657,1897.22809486
13,63049,0.233161870044,0.197175773213,0.251572327044,0.505131026479,6.04035874439,2.34782608696,16.4586366855,0.374100719424,549990.0,536232.626096,7.45944913707e-05,0.000162243018731,9.69728387819e-05,201.0,0.761363636364,0.474823066549,9.15645368688,102.0,0.684203788733,59.7472677596,14.0725340234,1.50509907286,0.366452588659,4.81880931838,0.0293361485938,16.8251,2.81665174575,0.0104152558576,0.0616899721714,0.0,165693.208705,151694.33127,1987.73861648,1418.02794139,1209.66974142
14,63049,0.708736345958,0.377979861486,0.229508196721,0.467227813985,6.1387755102,2.51063829787,25.8911207561,0.145454545455,500751.0,451488.138624,3.10085665654e-05,0.000104100187755,1.77191808945e-05,75.0,0.75,0.396320687206,9.28762388446,108.0,0.615277170624,52.0886363636,15.0588384579,1.41988899398,0.256497764501,3.34788732394,0.0289752905577,24.7184,5.50357593605,0.00526481162327,0.12107511114,0.0,165160.154276,151139.752514,1769.51500411,2271.73208539,762.962851743
